Designator,Mid X,Mid Y,Layer,Rotation
J1,171.75,-107.75,bottom,0
J2,157.25,-89.25,bottom,-90
J3,142.25,-89,bottom,-90
J4,115.5,-106,bottom,0
C1,158.45,-100.75,top,180
C2,161.7,-100.75,top,0
C3,132.945,-93.25,top,-90
C4,120.525,-93.225,top,-90
C5,168.205113,-91,top,180
D1,153.275,-103.175,top,90
D2,149.06071,-103.175,top,90
D3,144.846425,-103.175,top,90
D4,140.63214,-103.175,top,90
D5,136.417855,-103.175,top,90
D6,132.20357,-103.175,top,90
D7,127.989285,-103.175,top,90
D8,123.775,-103.175,top,90
R1,153.175,-106.5,top,180
R2,148.971426,-106.5,top,180
R3,144.767855,-106.5,top,180
R4,140.564284,-106.5,top,180
R5,136.360713,-106.5,top,180
R6,132.157142,-106.5,top,180
R7,127.953571,-106.5,top,180
R8,123.75,-106.5,top,180
U3,163.25,-105.25,top,0
U4,126.6,-95.525,top,90
U5,138.945,-95.5,top,90
