Designator,Mid X,Mid Y,Layer,Rotation
J1,60.25,-117,bottom,180
J2,60.25,-76.25,bottom,180
J3,60.25,-96.25,bottom,180
J4,223,-95.5,bottom,180
J5,223,-70.25,bottom,180
J6,223,-109,bottom,180
C1,138.4,-76.065,top,180
C2,102.725,-104.19,top,180
C3,194.75,-79.29,top,180
C4,77.525,-74.985,top,180
C5,90,-75.06,top,180
C6,159.125,-103.99,top,180
C7,102.525,-76.25,top,180
C8,62,-71.25,top,0
C9,114.1,-76.25,top,180
C10,214.83125,-87.2,top,0
C11,125.575,-76.25,top,180
C12,204.775,-104,top,180
C13,194.5,-103.845,top,180
C14,183.225,-104.06,top,180
C15,208.77,-87,top,180
C16,159.375,-74.74,top,180
C17,89.525,-104.25,top,180
C18,171.525,-104.045,top,180
C19,114.525,-104.19,top,180
C20,126.025,-104.19,top,180
C21,149.1,-74.815,top,180
C22,77.525,-104.25,top,180
C23,184.725,-79.31,top,180
C24,139.1,-104.005,top,180
C25,171.975,-74.87,top,180
C26,149.125,-104.005,top,180
D1,213.875,-73.375,top,90
D2,209.66071,-73.375,top,90
D3,205.446425,-73.375,top,90
D4,201.23214,-73.375,top,90
D5,197.017855,-73.375,top,90
D6,192.80357,-73.375,top,90
D7,188.589285,-73.375,top,90
D8,184.375,-73.375,top,90
D9,213.916666,-97.1,top,90
D10,214,-103.875,top,90
D11,214.1,-110.7875,top,90
D12,214.125,-117.925,top,90
R1,213.925,-69.75,top,0
R2,209.71071,-69.75,top,0
R3,205.496425,-69.75,top,0
R4,201.28214,-69.75,top,0
R5,197.067855,-69.75,top,0
R6,192.85357,-69.75,top,0
R7,188.639285,-69.75,top,0
R8,184.425,-69.75,top,0
R9,214,-100.5,top,180
R10,214,-107.25,top,180
R11,214.175,-114,top,180
R12,214.175,-121.25,top,180
U1,136.1,-81.55,top,0
U2,136.825,-109.465,top,0
U3,192.5,-84.75,top,0
U4,202.525,-109.5,top,0
U5,192.25,-110,top,0
U6,207,-89.275,top,0
U7,147.05,-110.1,top,0
U8,146.875,-80.93,top,0
U9,214.83125,-89.45,top,180
U11,182.475,-84.77,top,0
U18,181.025,-110.135,top,0
U19,75.475,-81.175,top,0
U20,169.775,-80.985,top,0
U21,87.7,-81.175,top,0
U22,157.1,-80.93,top,0
U23,75.4,-110.345,top,0
U24,169.45,-110.155,top,0
U25,87.4,-110.345,top,0
U26,156.875,-110.1,top,0
U44,100.275,-81.735,top,0
U45,100.45,-109.65,top,0
U46,112.025,-81.735,top,0
U47,112.25,-109.65,top,0
U50,123.3,-81.735,top,0
U51,123.75,-109.65,top,0
