Comment,Designator,Footprint,JLCPCB Part #
1k,R1-12,R_0603_1608Metric,C21190
0.1uF,"C1-7, C9, C11-14, C16-26",C_0603_1608Metric,C1590
0.1uF,"C10,C15",C_0402_1005Metric,C1525
100uF,C8,CP_Radial_D6.3mm_P2.50mm,
red Led,D1-8,LED_1206_3216Metric,C125086
yellow Led,D9-12,LED_1206_3216Metric,C125087
74HC151,U18-26,SOIC-16_3.9x9.9mm_P1.27mm,C6822
74HC08,"U44-45, U3",SOIC-14_3.9x8.7mm_P1.27mm,C337768
74HC32,U46-47,SOIC-14_3.9x8.7mm_P1.27mm,C6838
74HC86,"U1-2, U50-51,U4",SOIC-14_3.9x8.7mm_P1.27mm,C5955
74HC157,U5,SOIC-16_3.9x9.9mm_P1.27mm,C6823
74HC283,U7-8,SOIC-16_3.9x9.9mm_P1.27mm,C1523472
74HC02,U11,SOIC-14_3.9x8.7mm_P1.27mm,C350559
74LVC1G11,U9,SOT-23-6,C22046
74LVC2G157,U6,SSOP-8_2.95x2.8mm_P0.65mm,C78048
Conn_01x04_Pin,J4,PinHeader_1x04_P2.00mm_Vertical,
Conn_01x02_Pin,J1,PinHeader_1x02_P2.00mm_Vertical,
Conn_01x08_Pin,"J2-3, J5",PinHeader_1x08_P2.00mm_Vertical,
Conn_01x05_Pin,J6,PinHeader_1x05_P2.00mm_Vertical,
