Designator,Mid X,Mid Y,Layer,Rotation
J1,144.879256,-115.4275,bottom,90
J3,168.525686,-76.75,bottom,0
J4,117.775686,-72.25,bottom,180
A1,162.225686,-80,top,-90
C2,167.275686,-92.5,top,90
C3,167.275686,-95.75,top,-90
D1,167.025686,-101,top,-90
D2,167.025686,-107,top,-90
D3,167.025686,-112.9625,top,-90
R1,163.850686,-98.5,top,0
R2,163.850686,-104.5,top,0
R3,163.850686,-110.5,top,0
R4,126.350686,-98.75,top,180
R5,120.450686,-98.75,top,180
R6,120.450686,-100.5,top,0
R7,152.75,-115.75,top,0
R8,149.5,-115.75,top,180
SW1,127,-109.25,top,180
SW2,136.25,-104.25,top,-90
SW3,151.79,-104.25,top,-90
