Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF","CP_Radial_D8.0mm_P3.50mm",943.000000,-271.250000,0.000000,top
"C2","220uF","CP_Radial_D8.0mm_P3.50mm",928.250000,-271.250000,0.000000,top
"D1","LED","LED_D3.0mm",928.225000,-285.000000,0.000000,top
"J1","Conn_01x04_Socket","PinSocket_1x04_P2.00mm_Vertical",568.750000,-4.000000,0.000000,top
"J2","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",494.500000,8.000000,180.000000,top
"J3","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",494.250000,-21.500000,180.000000,top
"J4","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",712.675000,-128.575000,180.000000,top
"J5","Conn_01x03_Socket","PinSocket_1x03_P2.00mm_Vertical",633.050000,19.150000,0.000000,top
"J6","Conn_01x03_Socket","PinSocket_1x03_P2.00mm_Vertical",631.750000,-15.000000,0.000000,top
"J7","Conn_01x04_Socket","PinSocket_1x04_P2.00mm_Vertical",633.050000,10.150000,0.000000,top
"J8","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",646.650000,19.480000,0.000000,top
"J9","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",581.300000,17.650000,0.000000,top
"J10","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",699.400000,1.700000,180.000000,top
"J11","Conn_01x05_Socket","PinSocket_1x05_P2.00mm_Vertical",699.400000,19.950000,0.000000,top
"J12","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",872.000000,14.250000,0.000000,top
"J13","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",714.500000,17.500000,0.000000,top
"J14","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",872.000000,18.750000,180.000000,top
"J15","Conn_01x04_Socket","PinSocket_1x04_P2.00mm_Vertical",921.750000,20.500000,-90.000000,top
"J16","Conn_01x05_Socket","PinSocket_1x05_P2.00mm_Vertical",916.250000,-32.250000,90.000000,top
"J17","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",945.250000,15.750000,0.000000,top
"J18","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",932.750000,20.250000,-90.000000,top
"J19","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",889.000000,-15.000000,0.000000,top
"J21","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",889.000000,17.500000,0.000000,top
"J24","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",945.500000,-29.250000,180.000000,top
"J27","Conn_01x04_Socket","PinSocket_1x04_P2.00mm_Vertical",945.500000,-13.750000,0.000000,top
"J28","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",940.670000,-61.150000,180.000000,top
"J29","Conn_01x03_Socket","PinSocket_1x03_P2.00mm_Vertical",940.670000,-49.900000,180.000000,top
"J30","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",922.670000,-65.650000,-90.000000,top
"J31","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",712.500000,-62.500000,180.000000,top
"J32","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",893.895000,-45.625000,0.000000,top
"J33","Conn_01x05_Socket","PinSocket_1x05_P2.00mm_Vertical",875.250000,-52.500000,0.000000,top
"J34","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",712.500000,-19.750000,0.000000,top
"J35","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",712.500000,-39.750000,0.000000,top
"J36","Conn_01x04_Socket","PinSocket_1x04_P2.00mm_Vertical",875.250000,-39.000000,0.000000,top
"J37","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",875.250000,-13.750000,0.000000,top
"J38","Conn_01x06_Socket","PinSocket_1x06_P2.00mm_Vertical",698.646430,-80.322500,0.000000,top
"J39","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",662.000000,-33.500000,90.000000,top
"J40","Conn_01x03_Socket","PinSocket_1x03_P2.00mm_Vertical",656.250000,-219.500000,0.000000,top
"J41","Conn_01x03_Socket","PinSocket_1x03_P2.00mm_Vertical",679.750000,-33.500000,90.000000,top
"J42","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",670.750000,-221.000000,0.000000,top
"J43","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",699.500000,-15.000000,0.000000,top
"J44","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",645.750000,-15.750000,0.000000,top
"J45","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",631.750000,-27.750000,180.000000,top
"J46","Conn_01x05_Socket","PinSocket_1x05_P2.00mm_Vertical",850.250000,-283.900000,0.000000,top
"J47","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",617.750000,-251.750000,-90.000000,top
"J48","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",611.750000,-33.000000,-90.000000,top
"J49","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",582.250000,-15.500000,0.000000,top
"J50","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",495.000000,-146.750000,0.000000,top
"J51","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",495.000000,-181.500000,180.000000,top
"J52","Conn_01x03_Socket","PinSocket_1x03_P2.00mm_Vertical",698.000000,-149.000000,0.000000,top
"J53","Conn_01x04_Socket","PinSocket_1x04_P2.00mm_Vertical",654.250000,-192.250000,-90.000000,top
"J54","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",570.500000,-214.250000,180.000000,top
"J55","Conn_01x05_Socket","PinSocket_1x05_P2.00mm_Vertical",698.000000,-182.500000,180.000000,top
"J56","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",494.500000,-217.250000,0.000000,top
"J57","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",570.500000,-227.370000,0.000000,top
"J58","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",494.500000,-209.000000,0.000000,top
"J59","Conn_01x05_Socket","PinSocket_1x05_P2.00mm_Vertical",584.250000,-209.250000,0.000000,top
"J60","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",584.250000,-233.500000,180.000000,top
"J61","Conn_01x06_Socket","PinSocket_1x06_P2.00mm_Vertical",712.675000,-159.825000,0.000000,top
"J62","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",736.475000,-192.025000,-90.000000,top
"J63","Conn_01x08_Socket","PinSocket_1x08_P2.00mm_Vertical",874.500000,-79.750000,-90.000000,top
"J64","Conn_01x05_Socket","PinSocket_1x05_P2.00mm_Vertical",620.000000,-237.000000,-90.000000,top
"J65","Conn_01x02_Socket","PinSocket_1x02_P2.00mm_Vertical",789.250000,-79.750000,-90.000000,top
"J66","Conn_01x04_Socket","PinSocket_1x04_P2.00mm_Vertical",897.750000,-79.750000,90.000000,top
"J67","Conn_01x05_Socket","PinSocket_1x05_P2.00mm_Vertical",741.425000,-79.575000,-90.000000,top
"J68","Conn_01x03_Socket","PinSocket_1x03_P2.00mm_Vertical",944.925000,-100.825000,0.000000,top
"J69","Conn_01x03_Socket","PinSocket_1x03_P2.00mm_Vertical",945.000000,-116.750000,0.000000,top
