"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J113,J117,J115,J119,J116,J114,J112,J111";"PinSocket_1x10_P2.54mm_Vertical";8;"Conn_01x10_Socket";;;
2;"J66,J7,J15,J53,J73,J27,J1,J127,J36,J77,J71,J108";"PinSocket_1x04_P2.00mm_Vertical";12;"Conn_01x04_Socket";;;
3;"D1";"LED_D3.0mm";1;"LED";;;
4;"J103,J9,J17,J35,J56,J101,J128,J63,J100,J34,J104,J102,J44,J93,J105,J19,J8,J12,J123,J89,J48,J50,J109,J106,J30,J98,J37,J21,J99,J13,J32,J92,J43,J49";"PinSocket_1x08_P2.00mm_Vertical";34;"Conn_01x08_Socket";;;
5;"J47,J54,J134,J62,J60,J3,J4,J42,J86,J58,J31,J51,J14,J107,J24,J122,J110,J65,J57,J10,J94,J45,J95,J18,J39,J28,J2,J131";"PinSocket_1x02_P2.00mm_Vertical";28;"Conn_01x02_Socket";;;
6;"J74,J69,J133,J6,J41,J132,J79,J68,J5,J29,J88,J52,J126,J40,J78,J80";"PinSocket_1x03_P2.00mm_Vertical";16;"Conn_01x03_Socket";;;
7;"C2,C1";"CP_Radial_D8.0mm_P3.50mm";2;"220uF";;;
8;"J64,J16,J46,J33,J67,J59,J11,J55,J76";"PinSocket_1x05_P2.00mm_Vertical";9;"Conn_01x05_Socket";;;
9;"RN1";"R_Array_SIP9";1;"1k";;;
10;"J118";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06_Socket";;;
11;"SW1";"On_On_Mini_Sw_SPDT 0.5A";1;"On_On_Switch_0.5A";;;
12;"J38,J87,J61";"PinSocket_1x06_P2.00mm_Vertical";3;"Conn_01x06_Socket";;;
13;"J120";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
14;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
15;"J121";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack";;;
