Designator,Mid X,Mid Y,Layer,Rotation
J1,186.23,-93.475,bottom,180
J2,111.98,-79.475,bottom,180
J3,111.73,-110.975,bottom,0
C1,146.955,-69.725,top,180
C2,159.705,-91.975,top,0
C3,156.73,-97.225,top,-90
C4,152.23,-72.975,top,-90
C5,169.98,-97.225,top,-90
C6,113.317621,-72.25,top,0
C7,162.48,-89.725,top,-90
C8,112.25,-104.75,top,-90
C9,132.5,-99,top,-90
C10,164.48,-89.725,top,-90
C11,151.25,-105.475,top,90
C12,139.73,-72.2,top,90
C13,121,-79.75,top,-90
C14,159.73,-84.475,top,180
C15,182.905,-88.75,top,90
C16,180.5,-79.75,top,90
D1,130,-99,top,90
D2,144.73,-84.975,top,0
D3,132.055,-119.5,top,90
D4,181.48,-118.825,top,90
D5,181.48,-110.6,top,90
D6,143.5,-90.75,top,90
J4,112.25,-89.75,top,0
R1,136.23,-103.225,top,-90
R2,162.48,-86.475,top,-90
R3,136.23,-106.725,top,-90
R4,164.48,-86.475,top,90
R5,139.73,-79.325,top,90
R6,139.73,-75.725,top,90
R7,115.75,-104.75,top,90
R8,149.5,-105.5,top,-90
R9,134.75,-119.6,top,-90
R10,184.25,-118.075,top,90
R11,184.25,-109.825,top,-90
R12,146,-91.5,top,-90
R13,183.75,-102.5,top,90
R14,114,-104.75,top,90
R15,112.75,-85.5,top,180
R16,147.75,-105.5,top,90
RV1,158.73,-108,top,-90
SW1,127.23,-102.725,top,0
SW2,130.25,-83,top,0
SW3,118.75,-105.04,top,90
SW4,144.5,-105.04,top,90
U1,162.23,-99.475,top,90
U2,157.5,-88.25,top,0
U3,156.17,-79.285,top,0
U4,175.48,-99.475,top,90
U5,144.705,-75.8,top,0
U6,118,-79.75,top,0
U7,176.73,-86.5,top,-90
U8,183.5,-79.5,top,180
