Comment,Designator,Footprint,JLCPCB Part #
BAS16W,D1-2,SOT-323_SC-70,C56624
10uF,C6,CP_Radial_D6.3mm_P2.50mm,
10k,"R1,R3,R5-8,R13,R14,R15,R16",R_0603_1608Metric,C15401
0.01uF,"C7, C2",C_0603_1608Metric,C76710
0.1uF,"C1,C3-5,C13,C14-16",C_0603_1608Metric,C1590
1uF,C8-11,C_0603_1608Metric,C5673
10uF,C12,C_0603_1608Metric,C76614
1k,R9-12,R_0603_1608Metric,C21190
74HC14,U1,SOIC-14_3.9x8.7mm_P1.27mm,C5605
LMC555,U2,SOIC-8_3.9x4.9mm_P1.27mm,C90760
74HC173,U5,SOIC-16_3.9x9.9mm_P1.27mm,C2677807
74HC125,U4,SOIC-14_3.9x8.7mm_P1.27mm,C42322
74LVC1G08,U8,SOT-23-5,C7666
74LVC1G32,U6,SOT-23-5,C10096
ECS-2100X Oscillator,U3,Oscillator_DIP-8,
330,"R2, R4",R_0603_1608Metric,C23138
Push button,SW1,SW_PUSH_6mm,
Slide DIP switch,SW2-4,Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,
Conn_01x02_Pin,J2-3,PinHeader_1x02_P2.00mm_Vertical,
Conn_01x04_Pin,J1,PinHeader_1x04_P2.00mm_Vertical,
1M Potentiometer,RV1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,
74HC153,U7,SOIC-16_3.9x9.9mm_P1.27mm,C484751
red led,D6,LED_1206_3216Metric,C125086
yellow led,D4-5,LED_1206_3216Metric,C125087
white led,D3,LED_1206_3216Metric,C133134
Conn_01x01_Socket,J4,PinSocket_1x01_P2.54mm_Vertical,
