Designator,Mid X,Mid Y,Layer,Rotation
J1,107.25,-32.875,bottom,-90
J2,61.425,-32.7,bottom,90
J3,194.5,-32.875,bottom,90
J4,32.675,-81.7,bottom,0
J5,217.75,-32.875,bottom,-90
J6,32.75,-102.875,bottom,0
J7,264.925,-53.95,bottom,180
J8,265,-69.875,bottom,180
J9,157,-145.125,bottom,-90
J10,104.25,-145.125,bottom,-90
J11,195.25,-145.125,bottom,-90
J13,32.75,-142.375,bottom,0
J14,133.5,-32.875,bottom,-90
J15,32.675,-112.95,bottom,180
J16,32.5,-51.875,bottom,0
J17,32.5,-64.625,bottom,0
J23,242.75,-145.125,bottom,90
J24,54.475,-145.15,bottom,-90
C1,163.675,-66.55,top,-90
C2,234.775,-77.25,top,180
C3,103.5,-66.05,top,-90
C5,208.745,-58.595,top,180
C6,221.975,-58.46,top,180
C7,194.245,-57.445,top,180
C8,35.067621,-36.5,top,0
C9,208.95,-39.71,top,180
C10,75.925,-77.575,top,-90
C11,248.25,-77.25,top,180
C12,194.184999,-76.959999,top,180
C13,77.5,-65.975,top,-90
C14,194.225,-41,top,180
C15,158.25,-85,top,90
C16,221.648749,-77.268749,top,180
C17,175.885,-84.925,top,90
C18,208.999999,-77.31,top,180
C19,146.425,-66.325,top,-90
C20,124,-84.975,top,90
C21,119.25,-66.05,top,-90
C22,57.770001,-66,top,-90
C23,54.425,-77.55,top,-90
C24,173.25,-43.725,top,-90
C25,128.5,-43.7,top,-90
C26,84.5,-43.75,top,-90
C27,131.75,-43.725,top,-90
C28,176.25,-43.75,top,-90
C29,87.75,-43.725,top,-90
C30,257.48,-80.75,top,180
C31,222.25,-41.04,top,180
D1,57,-95.8,top,90
D2,57,-101.657142,top,90
D3,57,-107.514284,top,90
D4,57,-113.371426,top,90
D5,57,-119.228568,top,90
D6,57,-125.08571,top,90
D7,57,-130.942852,top,90
D8,57,-137.2,top,90
D9,91.925,-95.925,top,90
D10,91.925,-101.7375,top,90
D11,91.925,-125.05,top,90
D12,181.925,-125.3,top,90
D13,181.925,-131.3,top,90
D14,181.925,-95.8,top,90
D15,181.925,-137.3,top,90
D16,181.925,-119.333332,top,90
D17,113.925,-95.7,top,90
D18,113.925,-101.55,top,90
D19,113.925,-107.4,top,90
D20,113.925,-113.25,top,90
D21,113.925,-119.1,top,90
D22,113.925,-124.95,top,90
D23,113.925,-130.8,top,90
D24,147.925,-95.8,top,90
D25,147.925,-101.675,top,90
D26,147.925,-107.55,top,90
D27,147.925,-113.425,top,90
D28,147.925,-119.3,top,90
D29,147.925,-125.175,top,90
D30,147.925,-131.05,top,90
D31,147.925,-137.15,top,90
D32,181.925,-101.758333,top,90
D33,181.925,-107.616666,top,90
D34,181.925,-113.474999,top,90
D35,91.925,-107.55,top,90
D36,91.925,-113.3625,top,90
D37,91.925,-119.175,top,90
D38,218.825,-95.688334,top,90
D39,218.825,-101.53,top,90
D40,92,-131,top,90
D41,218.825,-107.68,top,90
D42,218.825,-113.521666,top,90
D43,218.825,-119.363336,top,90
D44,113.925,-136.874999,top,90
D45,255.5,-96,top,90
D46,255.5,-101.833333,top,90
D47,255.5,-107.666666,top,90
D48,255.5,-113.499999,top,90
D49,91.925,-136.966668,top,90
D50,218.75,-131.25,top,90
D51,218.75,-137.4,top,90
D52,218.75,-125.1,top,90
D55,255.5,-119.3,top,90
D56,253.225,-59.25,top,90
D57,253.475,-36.5,top,90
D58,253.375,-43.15,top,90
D59,253.225,-50,top,90
D60,253.25,-68.25,top,90
R1,59.75,-96.7,top,90
R2,59.75,-102.375,top,90
R3,59.75,-108.375,top,90
R4,59.75,-114.125,top,90
R5,59.75,-120.125,top,90
R6,59.75,-125.875,top,90
R7,59.75,-131.875,top,90
