Comment,Designator,Footprint,JLCPCB Part #
1k,"R8,R37,R14,R73,R1,R9,R5,R26,R81,R23,R4,R84,R13,R36,R80,R75,R79,R25,R74,R24,R16,R33,R72,R67,R76,R65,R83,R18,R11,R15,R10,R27,R7,R12,R71,R17,R66,R2,R82,R28,R21,R35,R19,R34,R64,R6,R39,R69,R68,R3,R22,R31,R30,R38,R70,R20,R32,R29",R_0603_1608Metric,C21190
10k,"R48,R61,R53,R55,R54,R95,R94,R49,R40,R42,R93,R46,R52,R56,R59,R41,R51,R63,R45,R62,R57,R60,R58,R43,R92,R47,R96,R44,R50,R97",R_0603_1608Metric,C15401
0.1uF,"C18,C12,C5,C1,C7,C17,C26,C23,C25,C19,C9,C16,C24,C10,C22,C20,C3,C31,C15,C21,C13,C11,C6,C2,C14",C_0603_1608Metric,C1590
0.1uF,C30,C_0402_1005Metric,C1525
1uF,C27-29,C_0603_1608Metric,C5673
100uF,C8,CP_Radial_D6.3mm_P2.50mm,
green led,"D1-10, D35-37, D11,D40,D49,D17-23,D44,D24-31,D14,D32-34,D16,D12,D13,D15,D38-39,D41-43,D55,D45-48,D50-52",LED_1206_3216Metric,C364563
white led,D57-59,LED_1206_3216Metric,C133134
yellow led,D56,LED_1206_3216Metric,C125087
red led,D60,LED_1206_3216Metric,C125086
74HC173,"U6,U13,U7,U8,U11-12",SOIC-16_3.9x9.9mm_P1.27mm,C2677807
74HC08,"U17, U10",SOIC-14_3.9x8.7mm_P1.27mm,C337768
74HC154,"U14,U19",SOIC-24W_7.5x15.4mm_P1.27mm,C2832236
PLCC32-THT-Socket,"U3,U2,U1",PLCC-32_THT-Socket,
74HC138,"U22,U21",SOIC-16_3.9x9.9mm_P1.27mm,C6818
74HC161,U5,SOIC-16_3.9x9.9mm_P1.27mm,C6824
74HC238,U15,SOIC-16W_5.3x10.2mm_P1.27mm,C5620
74HC14,U9,SOIC-14_3.9x8.7mm_P1.27mm,C6820
74HC74,"U18,U20,U24",SOIC-14_3.9x8.7mm_P1.27mm,C6762
74HC32,"U32,U4",SOIC-14_3.9x8.7mm_P1.27mm,C6838
74LVC1G86,U28,SOT-23-5,C402161
74HC151,U23,SOIC-16_3.9x9.9mm_P1.27mm,C6822
74HC04,U16,SOIC-14_3.9x8.7mm_P1.27mm,C6811
Conn_01x08_Pin,J3,PinHeader_1x08_P2.00mm_Vertical,
Conn_01x03_Pin,"J17,J7,J9,J23,J11,J8",PinHeader_1x03_P2.00mm_Vertical,
Conn_01x02_Pin,"J24,J1,J4",PinHeader_1x02_P2.00mm_Vertical,
Conn_01x04_Pin,"J16,J5,J14,J10",PinHeader_1x04_P2.00mm_Vertical,
Conn_01x06_Pin,"J6,J15",PinHeader_1x06_P2.00mm_Vertical,
Conn_01x05_Pin,"J2,J13",PinHeader_1x05_P2.00mm_Vertical,
