Designator,Mid X,Mid Y,Layer,Rotation
J1,136.25,-103.5,bottom,90
J2,128.5,-124.75,bottom,-90
C1,116.775,-106.7425,top,-90
C2,115.025,-106.7425,top,-90
D1,144.25,-117.5,top,90
D2,140.071426,-117.5,top,90
D3,135.892855,-117.5,top,90
D4,131.714284,-117.5,top,90
D5,127.535713,-117.5,top,90
D6,123.357142,-117.5,top,90
D7,119.178571,-117.5,top,90
D8,115,-117.5,top,90
R1,144.25,-120.75,top,0
R2,140.035714,-120.75,top,0
R3,135.925,-120.75,top,0
R4,131.75,-120.75,top,0
R5,127.425,-120.75,top,0
R6,123.425,-120.75,top,0
R7,119.175,-120.75,top,0
R8,114.925,-120.75,top,0
U1,121.275,-109.1125,top,90
