Designator,Mid X,Mid Y,Layer,Rotation
C7,142,-102.02,bottom,-90
C9,142,-99.02,bottom,90
J1,110.25,-84,bottom,180
J2,186.25,-79,bottom,180
J3,186.25,-96.12,bottom,0
J4,110.25,-75.75,bottom,180
R1,175.75,-93,bottom,0
R2,171.24,-93,bottom,0
R3,166.99,-93,bottom,0
R4,162.49,-93,bottom,0
R5,118.25,-99.25,bottom,-90
R6,152.75,-101.25,bottom,90
R7,149.5,-101.26,bottom,-90
R8,182.01,-91.75,bottom,0
R9,156.5,-79.75,bottom,90
R10,159.5,-79.75,bottom,90
R11,158,-79.75,bottom,-90
R12,169,-79.75,bottom,-90
R13,171.75,-79.75,bottom,90
R14,173.5,-79.75,bottom,90
R15,175.25,-79.75,bottom,-90
R16,157.99,-90,bottom,180
R17,125,-101,bottom,90
R18,125,-95.75,bottom,90
R19,126.25,-101,bottom,90
R20,128.5,-101.01,bottom,90
R21,130,-101,bottom,90
R22,136.75,-101.01,bottom,90
R23,135.25,-100.98,bottom,90
R24,126.25,-95.75,bottom,90
R25,128.5,-95.75,bottom,90
R26,130,-95.75,bottom,90
R27,141.5,-88.5,bottom,180
R28,136.75,-95.75,bottom,90
R29,135.25,-95.74,bottom,90
C1,113,-102,top,0
C2,142.5,-79.27,top,-90
C3,142.5,-75.73,top,90
C5,162.3875,-98,top,180
C6,114.75,-96.75,top,0
C8,151.5,-99.345,top,-90
C10,114.77,-83.75,top,0
C11,172.98,-98,top,180
Q1,175.7,-92.1875,top,90
Q2,171.3,-92.125,top,90
Q3,166.9,-92.125,top,90
Q4,162.5,-92.1875,top,90
Q5,143.85,-92.95,top,90
Q6,148.5,-92.95,top,90
Q7,153.25,-92.95,top,90
Q8,157.45,-92.3125,top,90
RN7,176.1,-100.7,top,0
SW1,181.5,-97.04,top,90
U1,133.21,-78.3,top,0
U2,117.525,-77.925,top,180
U3,117.525,-90.925,top,180
U4,164,-78.7,top,0
U5,170.1375,-101.475,top,0
U6,159.3875,-101.5,top,0
U10,146.5,-101.25,top,0
