Comment,Designator,Footprint,JLCPCB Part #
0.1uF,"C10,C2,C6,C11,C8,C5,C9",C_0402_1005Metric,C1525
AO3401A,Q1-4,SOT-23,C15127
MMBT2222A,Q8,SOT-23,C82460
LMC555,U10,SOIC-8_3.9x4.9mm_P1.27mm,C90760
MMDT2222A,Q5-7,SOT-363_SC-70-6,C96379
74HC173,U2-3,SOIC-16_3.9x9.9mm_P1.27mm,C2677807
10uF,C1,CP_Radial_D5.0mm_P2.50mm,
SW_SPDT,SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,
1k,RN7,R_Array_Convex_4x0603,C20197
AT28C64B,U1,PLCC-32_THT-Socket,
74HC138,U5,TSSOP-16_4.4x5mm_P0.65mm,C157527
Com Anode 7-seg Display,U4,Kingsbright-CA04-41SURKWA,
74HC74,U6,TSSOP-14_4.4x5mm_P0.65mm,C6761
1uF,C3,C_0402_1005Metric,C52923
1nF,C7,C_0402_1005Metric,C1523
10k,"R3,R8,R4,R22,R1,R19,R20,R21,R2,R7,R17,R16,R5,R23",R_0402_1005Metric,C25744
330,R9-15,R_0402_1005Metric,C208861
2.2k,"R24,R18,R28,R29,R26,R25,R27",R_0402_1005Metric,C25879
1k,R6,R_0402_1005Metric,C11702
Conn_01x08_Pin,J1,PinHeader_1x08_P2.00mm_Vertical,
Conn_01x02_Pin,J2-4,PinHeader_1x02_P2.00mm_Vertical,
