Designator,Mid X,Mid Y,Layer,Rotation
J1,169.25,-93.75,bottom,180
J2,112.75,-81.5,bottom,180
J3,140,-98.75,bottom,-90
J4,169.25,-80.25,bottom,180
C1,133.5,-81,top,-90
C2,117,-97.75,top,0
C3,134.225,-78.5,top,180
C4,125.75,-91.5,top,-90
C5,117.75,-80.25,top,0
D1,162.675,-91.6,top,90
D2,154.25,-91.5,top,90
D3,145.925,-91.5,top,90
D4,137.75,-91.5,top,90
R1,165.425,-92.275,top,-90
R2,157,-92.175,top,-90
R3,148.675,-92.175,top,-90
R4,140.5,-92.175,top,-90
U1,128.25,-84.75,top,180
U2,138.96,-83.2,top,90
U3,119.225,-91.75,top,180
