Designator,Mid X,Mid Y,Layer,Rotation
J1,36.25,-84.5,bottom,0
J2,36.25,-103.25,bottom,180
J3,239.25,-72.75,bottom,180
J4,239.25,-106.25,bottom,0
J5,195.5,-116,bottom,90
C1,149.285455,-69.5,top,180
C2,179.4875,-69.75,top,180
C3,194.775,-69.75,top,180
C4,179.25,-94.25,top,180
C5,224.775,-93,top,180
C6,224.861365,-69.75,top,180
C7,209.775,-69.75,top,180
C8,164.275,-92.5,top,180
C9,144.85,-105.25,top,0
C10,164.475,-69.75,top,180
C11,194.525,-94.25,top,180
C12,209.5,-93.08,top,180
C13,179.275,-92.5,top,180
C14,164.275,-94.25,top,180
C15,36.794888,-64.25,top,0
D1,53.75,-68.325,top,90
D2,53.75,-74.1625,top,90
D3,53.75,-80,top,90
D4,53.75,-85.8375,top,90
D5,98,-68.4875,top,90
D6,98,-74.304166,top,90
D7,98,-80.120832,top,90
D8,98,-85.9375,top,90
D9,98,-112.5,top,90
D10,98,-102.7375,top,90
D11,98,-96.2375,top,90
R1,199.425,-116,top,0
R2,199.425,-114,top,0
R3,183.925,-114,top,180
R4,184,-116,top,180
R5,95.75,-69.425,top,90
R6,95.75,-75.175,top,90
R7,95.75,-80.925,top,90
R8,95.75,-86.825,top,90
R9,95.75,-113.425,top,90
R10,95.75,-103.65,top,90
R11,95.675,-97.15,top,90
R12,51.5,-86.75,top,90
R13,51.5,-80.675,top,90
R14,51.5,-75,top,90
R15,51.5,-69,top,90
U1,177.31318,-75.19,top,0
U2,147,-99,top,180
U3,192.315,-99.87,top,0
U4,177.21,-99.87,top,0
U5,147.075,-75.11,top,0
U6,192.43227,-75.19,top,0
U7,162.105,-99.87,top,0
U8,207.42,-99.25,top,0
U9,162.19409,-75.19,top,0
U10,222.525,-99.17,top,0
U11,207.55136,-75.19,top,0
U12,222.67045,-75.825,top,0
