Designator,Mid X,Mid Y,Layer,Rotation
J1,114.475,-80.475,bottom,0
J2,161.25,-80,bottom,180
J3,161.25,-70.75,bottom,0
J4,143.25,-86.5,bottom,90
C1,130.95,-68.05,top,-90
C2,117.895,-68.025,top,-90
C3,155.75,-79.455113,top,90
D1,150.5,-78.1,top,90
D2,146.28571,-78.1,top,90
D3,142.071425,-78.1,top,90
D4,137.85714,-78.1,top,90
D5,133.642855,-78.1,top,90
D6,129.42857,-78.1,top,90
D7,125.214285,-78.1,top,90
D8,121,-78.1,top,90
R1,150.525,-81.475,top,0
R2,146.275,-81.475,top,0
R3,142.025,-81.475,top,0
R4,137.85,-81.475,top,0
R5,133.7,-81.475,top,0
R6,129.45,-81.475,top,0
R7,125.2,-81.475,top,0
R8,121.025,-81.475,top,0
U1,137.105,-70.275,top,90
U2,124.05,-70.25,top,90
