Comment,Designator,Footprint,JLCPCB Part #
10uF,C2,CP_Radial_D5.0mm_P2.00mm,
0.1uF,C1,C_0603_1608Metric,C1590
10k,"R2,R3,R5,R7",R_0603_1608Metric,C15401
1k,"R6,R4,R1",R_0603_1608Metric,C21190
10k Potentiometer,RV1,Potentiometer_Bourns_3386F_Vertical,
2N7000,Q1-3,TO-92L_Inline_Wide,C107290
Conn_01x16_Socket,J4,PinSocket_1x16_P2.54mm_Vertical,
Conn_01x08_Pin,J1,PinHeader_1x08_P2.00mm_Vertical,
Conn_01x04_Pin,J3,PinHeader_1x04_P2.00mm_Vertical,
Conn_01x02_Pin,J2,PinHeader_1x02_P2.00mm_Vertical,
