Designator,Mid X,Mid Y,Layer,Rotation
J1,167,-100.75,bottom,180
J2,167,-94,bottom,0
J3,117.5,-104.5,bottom,0
J4,147,-108,bottom,90
C1,121.175,-89.725,top,90
C2,133.925,-89.725,top,90
C3,160.25,-100.044888,top,-90
D1,153.5,-99.65,top,90
D2,149.28571,-99.65,top,90
D3,145.071425,-99.65,top,90
D4,140.85714,-99.65,top,90
D5,136.642855,-99.65,top,90
D6,132.42857,-99.65,top,90
D7,128.214285,-99.65,top,90
D8,124,-99.65,top,90
R1,153.571432,-103.25,top,0
R2,149.325,-103.25,top,0
R3,145.075,-103.25,top,0
R4,140.825,-103.25,top,0
R5,136.575,-103.25,top,0
R6,132.5,-103.25,top,0
R7,128.25,-103.25,top,0
R8,123.925,-103.25,top,0
U1,127.25,-92,top,90
U2,139.925,-91.975,top,90
