Designator,Mid X,Mid Y,Layer,Rotation
J1,120,-92.97,bottom,180
J2,172.75,-108.75,bottom,180
J3,172.75,-92.5,bottom,180
C1,125.75,-102.5,top,-90
C2,124,-102.5,top,-90
C3,144.425,-99.7,top,90
C4,156.945,-99.65,top,90
C5,165.75,-105.75,top,0
D1,160.75,-105.65,top,90
D2,156.53571,-105.65,top,90
D3,152.321425,-105.65,top,90
D4,148.10714,-105.65,top,90
D5,143.892855,-105.65,top,90
D6,139.67857,-105.65,top,90
D7,135.464285,-105.65,top,90
D8,131.25,-105.65,top,90
R1,160.75,-109.25,top,0
R2,156.546426,-109.25,top,0
R3,152.342855,-109.25,top,0
R4,148.139284,-109.25,top,0
R5,143.935713,-109.25,top,0
R6,139.732142,-109.25,top,0
R7,135.528571,-109.25,top,0
R8,131.325,-109.25,top,0
U1,128.5,-97.3,top,180
U2,138.25,-97.425,top,-90
U3,150.75,-97.5,top,-90
