Designator,Mid X,Mid Y,Layer,Rotation
J1,105.25,-91.75,bottom,180
J2,177.25,-102,bottom,180
J3,105.25,-114,bottom,180
J6,141,-119.5,bottom,90
C1,129.845,-104.025,top,-90
C2,112.794888,-115.75,top,0
C3,114.095,-104.05,top,-90
D1,170.75,-92.0625,top,90
D2,170.75,-98.25,top,90
D3,170.75,-104.4375,top,90
D4,170.75,-110.625,top,90
D5,170.75,-116.8125,top,90
R1,173.5,-92.175,top,90
R2,173.5,-98.175,top,90
R3,173.5,-104.5,top,90
R4,173.5,-110.75,top,90
R5,173.5,-116.825,top,90
U1,136.095,-106.275,top,90
U2,120.345,-106.275,top,90
