Designator,Mid X,Mid Y,Layer,Rotation
J1,55.75,-98.75,bottom,0
J2,213.25,-81.5,bottom,180
J3,213.25,-88,bottom,180
C1,62.2,-85.5,top,-90
C2,60.45,-85.5,top,-90
C3,71.64,-85.75,top,-90
C4,84.95,-85.775,top,-90
C5,110.675,-85.8625,top,-90
C6,112.45,-85.8625,top,-90
C7,121.925,-85.8875,top,-90
C8,135.425,-85.8875,top,-90
C9,161.85,-86,top,-90
C10,163.6,-85.975,top,-90
C11,173.35,-86,top,-90
C12,186.71,-86,top,-90
C13,203,-83.5,top,0
D1,94.7,-95.75,top,90
D2,90.48571,-95.75,top,90
D3,86.271425,-95.75,top,90
D4,82.05714,-95.75,top,90
D5,77.842855,-95.75,top,90
D6,73.62857,-95.75,top,90
D7,69.414285,-95.75,top,90
D8,65.2,-95.75,top,90
D9,145.45,-96.0125,top,90
D10,141.23571,-96.0125,top,90
D11,137.021425,-96.0125,top,90
D12,132.80714,-96.0125,top,90
D13,128.592855,-96.0125,top,90
D14,124.37857,-96.0125,top,90
D15,120.164285,-96.0125,top,90
D16,115.95,-96.0125,top,90
D17,196.7,-96.25,top,90
D18,192.45,-96.25,top,90
D19,188.2,-96.25,top,90
D20,183.95,-96.25,top,90
D21,179.7,-96.25,top,90
D22,175.7,-96.25,top,90
D23,171.45,-96.25,top,90
D24,167.2,-96.25,top,90
R1,94.578574,-99.25,top,0
R2,90.425,-99.25,top,0
R3,86.25,-99.25,top,0
R4,82,-99.25,top,0
R5,77.785713,-99.25,top,0
R6,73.632142,-99.25,top,0
R7,69.478571,-99.25,top,0
R8,65.175,-99.25,top,0
R9,145.575,-99.5,top,0
R10,141.325,-99.5,top,0
R11,137.075,-99.5,top,0
R12,132.825,-99.5,top,0
R13,128.575,-99.5,top,0
R14,124.25,-99.5,top,0
R15,120.25,-99.5,top,0
R16,115.75,-99.5,top,0
R17,196.675,-99.75,top,0
R18,192.507142,-99.75,top,0
R19,188.25,-99.75,top,0
R20,184,-99.75,top,0
R21,179.75,-99.75,top,0
R22,175.75,-99.75,top,0
R23,171.5,-99.75,top,0
R24,167.25,-99.75,top,0
U1,66.7,-88.25,top,90
U2,116.925,-88.3625,top,90
U3,168.2,-88.5,top,90
U4,179.45,-88.25,top,90
U5,77.775,-87.97,top,90
U6,128.175,-88.1375,top,90
U7,192.905,-88.225,top,90
U8,91.025,-87.97,top,90
U9,141.675,-88.1375,top,90
