Designator,Mid X,Mid Y,Layer,Rotation
J1,130.5,-91.5,bottom,-90
J2,148.25,-91.5,bottom,-90
J3,114.25,-87.75,bottom,0
J4,168,-73,bottom,180
C1,117.75,-72,top,90
C2,130.25,-72,top,90
C3,159.25,-82.294888,top,-90
D1,150.75,-81.9,top,90
D2,146.53571,-81.9,top,90
D3,142.321425,-81.9,top,90
D4,138.10714,-81.9,top,90
D5,133.892855,-81.9,top,90
D6,129.67857,-81.9,top,90
D7,125.464285,-81.9,top,90
D8,121.25,-81.9,top,90
R1,150.75,-85.5,top,0
R2,146.5,-85.5,top,0
R3,142.25,-85.5,top,0
R4,138.075,-85.5,top,0
R5,134,-85.5,top,0
R6,129.75,-85.5,top,0
R7,125.5,-85.5,top,0
R8,121.175,-85.5,top,0
U1,123.905,-74.225,top,90
U2,136.405,-74.225,top,90
