Designator,Mid X,Mid Y,Layer,Rotation
J1,42,-69,bottom,180
J2,42,-95.25,bottom,180
J3,246.14643,-83.0725,bottom,180
J9,170.25,-49.25,bottom,90
J10,156.25,-126.25,bottom,-90
C1,42.695,-110.275,top,-90
C2,157.35,-86.48,top,180
C3,159.85,-88.98,top,-90
C4,109.225,-54,top,180
C5,122.5,-54,top,180
C6,136,-54,top,180
C7,149.475,-54,top,180
C8,162.75,-54,top,180
C9,176.25,-54,top,180
C10,181.475,-108.75,top,180
C11,189.725,-54,top,180
C12,110.02,-71.115,top,180
C13,122.02,-70.615,top,180
C14,134.295,-70.615,top,180
C15,146.32,-70.615,top,180
C16,158.32,-71.115,top,180
C17,239.5,-122.25,top,0
C18,133.55,-88.21,top,180
C19,169.6375,-114.2,top,-90
C20,106.025,-101.5,top,0
C21,68.85,-111.025,top,0
C22,185.75,-73.0725,top,0
C23,185.7,-71.3225,top,0
C24,203.81,-120.02,top,-90
D1,95.435,-104.25,top,-90
D2,236.75,-63.0475,top,-90
D3,220.69643,-63.145,top,-90
D4,190.89643,-112.135,top,90
D5,203.175,-63.0725,top,-90
D6,73.25,-114.25,top,-90
D7,95.435,-113.25,top,-90
D8,95.435,-121.7625,top,-90
D9,233.89643,-109.835,top,90
D10,229.68214,-109.835,top,90
D11,225.467855,-109.835,top,90
D12,221.25357,-109.835,top,90
D13,217.039285,-109.835,top,90
D14,212.825,-109.835,top,90
D15,208.610715,-109.835,top,90
D16,204.39643,-109.835,top,90
D17,233.89643,-94.085,top,90
D18,229.68214,-94.085,top,90
D19,225.467855,-94.085,top,90
D20,221.25357,-94.085,top,90
D21,217.039285,-94.085,top,90
D22,212.825,-94.085,top,90
D23,208.610715,-94.085,top,90
D24,204.39643,-94.085,top,90
J4,47.64643,-52.8225,top,0
J5,74.75,-96,top,-90
J7,98.39643,-57.3225,top,180
R1,101.39643,-122.8225,top,90
R2,239.89643,-63.0725,top,90
R3,223.66786,-63.17,top,90
R4,190.89643,-116.5,top,90
R5,206.14643,-62.92,top,90
R6,44.695,-110.225,top,90
R7,124.14643,-122.7475,top,90
R8,121.610714,-122.7475,top,90
R9,119.075,-122.7475,top,90
R10,116.539286,-122.7475,top,90
R11,114.003572,-122.7475,top,90
R12,111.467858,-122.7475,top,90
R13,108.932144,-122.7475,top,90
R14,106.39643,-122.7475,top,90
R15,46.695,-110.225,top,-90
R16,42.5,-122.75,top,90
R17,103.39643,-122.8225,top,-90
R18,99.39643,-122.8225,top,-90
R19,44.25,-122.75,top,90
R20,176.55357,-108.75,top,0
R21,240,-76.25,top,-90
R22,224,-76.175,top,-90
R23,206.5,-76.25,top,-90
R24,233.85714,-113.5725,top,0
R25,229.63214,-113.5725,top,0
R26,225.40714,-113.5725,top,0
R27,221.18214,-113.5725,top,0
R28,216.95714,-113.5725,top,0
R29,212.73214,-113.5725,top,0
R30,208.50714,-113.5725,top,0
R31,204.28214,-113.5725,top,0
R32,233.64643,-97.8225,top,0
R33,229.478572,-97.8225,top,0
R34,225.310715,-97.8225,top,0
R35,221.142858,-97.8225,top,0
R36,216.82143,-97.8225,top,0
R37,212.57143,-97.8225,top,0
R38,208.639287,-97.8225,top,0
R39,204.47143,-97.8225,top,0
R40,85.575,-89.25,top,180
R41,85.575,-91.25,top,180
R42,85.65,-93.25,top,180
R43,202.885,-124.75,top,0
R48,153.14643,-122.7475,top,90
R49,150.610714,-122.7475,top,90
R50,148.075,-122.7475,top,90
R51,145.539286,-122.7475,top,90
R52,143.003572,-122.7475,top,90
R53,140.467858,-122.7475,top,90
R54,137.932144,-122.7475,top,90
R55,135.39643,-122.7475,top,90
R56,63.979764,-61.3225,top,90
R57,61.89643,-61.3225,top,-90
R60,85.39643,-61.3225,top,-90
R61,83.14643,-61.3225,top,-90
R62,80.89643,-61.3225,top,-90
SW1,124.287145,-111.17,top,-90
SW2,55.485,-109.975,top,180
SW3,55.42857,-122.71857,top,0
SW4,175.75,-112,top,0
SW5,236.75,-76,top,90
SW6,220.75,-76,top,90
SW7,203.25,-76,top,90
SW8,153.02429,-111.1375,top,-90
U1,156.25,-76.71,top,0
U2,166.3875,-114.2,top,0
U3,107,-60.115,top,0
U4,110.4,-93.945,top,180
U5,120.408333,-60.115,top,0
U6,119.795,-76.615,top,0
U7,132.25,-76.69,top,0
U8,131.475,-94.405,top,0
U9,144.075,-76.69,top,0
U10,179.25,-87.75,top,0
U11,153,-94.175,top,0
U12,147.224999,-60.115,top,0
U13,160.633332,-60.115,top,0
U14,174.041665,-60.115,top,0
U15,187.45,-60.115,top,0
U16,133.816666,-59.48,top,0
U17,107.975,-76.75,top,0
U18,68.8,-114.1375,top,90
U19,209.31,-122.27,top,90
