Designator,Mid X,Mid Y,Layer,Rotation
J1,114.25,-85.25,bottom,180
J2,166,-83.75,bottom,180
J3,166,-92.75,bottom,180
C1,119,-92,top,-90
C2,125.225,-90.5,top,180
C3,127.75,-85.525,top,-90
C4,141,-85.525,top,-90
C5,161.5,-96,top,180
D1,154.25,-95.9,top,90
D2,150.03571,-95.9,top,90
D3,145.821425,-95.9,top,90
D4,141.60714,-95.9,top,90
D5,137.392855,-95.9,top,90
D6,133.17857,-95.9,top,90
D7,128.964285,-95.9,top,90
D8,124.75,-95.9,top,90
R1,154.25,-99.5,top,0
R2,150,-99.5,top,0
R3,145.75,-99.5,top,0
R4,141.575,-99.5,top,0
R5,137.325,-99.5,top,0
R6,133.146429,-99.5,top,0
R7,129.003572,-99.5,top,0
R8,124.75,-99.5,top,0
U1,121.94,-86,top,180
U2,133.825,-87.75,top,90
U3,147.055,-87.75,top,90
