Designator,Mid X,Mid Y,Layer,Rotation
C1,184.925,-92.9,top,-90
C2,183.175,-92.9,top,-90
C3,103,-85.75,top,0
D1,98.607148,-100.75,top,-90
D2,108.357148,-100.75,top,-90
D3,118.357148,-100.75,top,-90
D4,128.357148,-100.75,top,-90
D5,138.107148,-100.75,top,-90
D6,148.107148,-100.9,top,-90
D7,157.867864,-100.75,top,-90
D8,167.607148,-100.75,top,-90
J1,136,-84.25,top,90
J2,179,-84.25,top,90
J3,111.64,-84.25,top,90
R1,98.682148,-93.75,top,180
R2,108.417862,-93.75,top,180
R3,108.417862,-95.5,top,180
R4,118.403576,-93.75,top,180
R5,118.403576,-95.5,top,180
R6,128.38929,-93.75,top,180
R7,128.38929,-95.5,top,180
R8,138.125004,-93.75,top,180
R9,204.825,-105,top,180
R10,204.825,-103.25,top,180
R11,204.825,-101.5,top,180
R12,204.825,-99.75,top,180
R13,204.825,-98,top,180
R14,204.825,-96.25,top,180
R15,204.825,-94.5,top,180
R16,204.825,-92.75,top,180
R17,98.682148,-95.5,top,180
R18,138.125004,-95.5,top,180
R19,148.110718,-93.9,top,180
R20,148.110718,-95.65,top,180
R21,157.857148,-93.75,top,180
R22,157.857148,-95.5,top,180
R23,167.582148,-93.75,top,180
R24,167.582148,-95.5,top,180
R25,183.75,-98.75,top,-90
SW1,98.607148,-107.7,top,-90
SW2,108.46429,-107.7,top,-90
SW3,118.321432,-107.7,top,-90
SW4,128.178574,-107.7,top,-90
SW5,138.035716,-107.7,top,-90
SW6,147.892858,-107.7,top,-90
SW7,157.75,-107.7,top,-90
SW8,167.607148,-107.7,top,-90
SW9,196.58,-107.75,top,-90
SW10,173,-95.65,top,0
U1,192.75,-97.4,top,90
